horizon_min,RMSE,MAE,bias,P90AE,corr_spatial_mean,skill_RMSE_vs_ref,skill_MAE_vs_ref,model
15,34.2333357589533,28.55107363426052,-2.447420308422627,50.46002197265625,0.984782028960938,-0.587647345023425,-1.2575094987883726,persistence_raw
30,63.91294571516308,54.02460951788963,-2.1220945397638813,98.0,0.9407959798174423,-0.7434478853367072,-1.4953840376115277,persistence_raw
45,92.43995928437103,78.73487913169892,0.5747161778017754,142.24002075195312,0.8722610569605311,-0.8538376972249246,-1.6586640306151823,persistence_raw
60,118.73374956253492,101.73030428320932,5.375779430965177,180.83999633789062,0.7877486732021376,-1.0147934532962197,-1.903767474214158,persistence_raw
15,21.562304658136615,12.647155472439458,-1.998343209340589,35.05283203125002,0.9988307210230473,4.63772353853642e-10,7.906917343092346e-10,persistence_csi
30,36.65893671687541,21.649817694853002,-3.337098399854092,59.92421264648438,0.9960889479880374,2.7278479475256745e-10,4.6189774227656244e-10,persistence_csi
45,49.86410590539253,29.61445229576224,-4.368226436416582,81.90197753906251,0.9926972895700809,2.005450250308627e-10,3.376730006721118e-10,persistence_csi
60,58.93097843262173,35.03390170099717,-5.242514168105417,97.20591430664064,0.9899699045768914,1.6969003979738773e-10,2.8543778451961543e-10,persistence_csi
15,278.42218196259256,239.32429757065378,221.4551587598517,425.6342285156251,,-11.912450048719835,-17.923171926126386,mean_image
30,279.48722344213513,240.19716389647047,222.4648788926823,428.20886840820316,,-6.623986083514456,-10.094650641914093,mean_image
45,282.6962725498205,242.4870277283228,223.93601729427422,441.6720245361328,,-4.669334030163672,-7.1881314307184,mean_image
60,287.565184509239,245.01125382247542,225.54211027608767,462.94783782958984,,-3.8796947226869385,-5.99354744566079,mean_image
15,26.843403966982834,15.103279554308164,-1.8114085718941009,41.20230407714844,0.9988986174806939,-0.24492276591612616,-0.19420367491164536,advective_csi
30,43.43407031414423,25.20074128435242,-3.169488835073125,69.06634674072274,0.9962618452467482,-0.18481533269080952,-0.16401632696904622,advective_csi
45,55.65211860213782,32.865734924209676,-4.039339890146985,90.42901000976565,0.9930039598725976,-0.11607573384683101,-0.10978702509432581,advective_csi
60,64.23010246634107,38.11101575098131,-4.70838314272104,105.65835266113282,0.990316411937817,-0.08992085595318655,-0.08783246768709829,advective_csi
15,21.146439691918047,13.048860959650321,-1.0509437465310905,33.88701171875,0.9991455808295038,0.01928666636610077,-0.031762515908706046,ridge_residual_csi
30,35.58272067381222,22.048850700311082,-0.6903764448558395,58.122863769531264,0.9974589747056662,0.02935753595586954,-0.01843124043343014,ridge_residual_csi
45,48.596388971351516,30.073567476082587,-0.824917976218773,79.54424438476565,0.9947994263529094,0.025423436774180352,-0.015503078212627086,ridge_residual_csi
60,57.49579165810969,35.720273889930276,-1.1562478903651257,94.18529052734382,0.9925705061720173,0.024353690069975897,-0.019591656807030677,ridge_residual_csi
15,20.951001708874532,12.355224048545118,-1.5355894654272977,33.89509124755863,0.9993378379185556,0.028350538992495844,0.0230827741700248,random_forest_residual_csi
30,35.4852565972712,21.025294275172595,-2.085438494897343,57.580990600585956,0.9977076449990174,0.032016207626222815,0.028846590682397144,random_forest_residual_csi
45,48.390078152982696,28.723122627815133,-2.323060875271122,78.79335937500004,0.9953289531447284,0.029560898272414704,0.0300977937644884,random_forest_residual_csi
60,57.184010249130395,33.92442211219788,-2.4017001731247998,93.69658813476569,0.9933813370449514,0.029644309998896,0.03166874212160686,random_forest_residual_csi
15,20.879810281405106,12.256272082094698,-1.7076169817473117,33.76975860595706,0.9994098898857634,0.031652200320685386,0.03090682334755046,extra_trees_residual_csi
30,35.32570349827081,20.80772340859968,-2.40156484026776,57.37807617187502,0.9979506628330107,0.03636857333145671,0.038896137959838706,extra_trees_residual_csi
45,48.157390381649954,28.404104137301317,-2.8913094999246742,78.37373657226576,0.9957738496196274,0.03422733652616705,0.040870185812128645,extra_trees_residual_csi
60,56.91718902567193,33.48278497016658,-3.2705350410961502,93.34951782226574,0.9939322319194624,0.034172000366675226,0.044274735758127015,extra_trees_residual_csi
15,20.94879151142758,12.44885246858093,-1.7579633303585536,33.84253997802736,0.9993714480942802,0.028453041831638992,0.01567965335239796,hist_gb_residual_csi
30,35.507087761683444,21.236920344652802,-2.3058002817006495,57.6222579956055,0.9977480764381512,0.03142068668749798,0.019071632187814935,hist_gb_residual_csi
45,48.34774349711768,28.90874930758568,-2.5650124609082283,78.60823974609379,0.9954692777953812,0.030409898872903685,0.023829682578301425,hist_gb_residual_csi
60,57.16628494462344,34.12972208759392,-3.3190978923851855,93.76771240234386,0.9934976709100707,0.029945090759293636,0.025808704690160944,hist_gb_residual_csi
