horizon_min,RMSE_spatial_mean,MAE_spatial_mean,model
15,27.445194469175192,23.8791109925518,persistence_raw
30,53.89574311093587,46.887851222994726,persistence_raw
45,80.02598740325953,69.68068093882879,persistence_raw
60,105.62636490629164,91.99518847665462,persistence_raw
15,7.800872464113328,4.970294475691051,persistence_csi
30,14.282337888358866,9.359331853209872,persistence_csi
45,19.908223255625114,13.438866628124424,persistence_csi
60,24.19702011373159,16.84981341994204,persistence_csi
15,270.30317761747784,235.61620220553573,mean_image
30,271.46154789854444,236.29934342178274,mean_image
45,274.7967862273508,238.37471963726202,mean_image
60,279.82214611854306,240.55448283531558,mean_image
15,7.548189688933227,4.8747235331256205,advective_csi
30,13.956814345126565,9.307780509758086,advective_csi
45,19.476147255154615,13.280090617915244,advective_csi
60,23.73947250072508,16.615160684014352,advective_csi
15,6.564354749396086,3.6457230033236216,ridge_residual_csi
30,11.238908982288425,6.5511405144149135,ridge_residual_csi
45,16.49943916837994,9.736131937490157,ridge_residual_csi
60,20.486594675772473,12.760656081448298,ridge_residual_csi
15,5.904668300976531,3.4179545062540595,random_forest_residual_csi
30,10.922956271388388,6.504571652989202,random_forest_residual_csi
45,15.85900227142266,9.576154557116073,random_forest_residual_csi
60,19.561809766416232,12.167081586904741,random_forest_residual_csi
15,5.646866739389852,3.275971864774337,extra_trees_residual_csi
30,10.39292410761137,6.1826032355025715,extra_trees_residual_csi
45,15.134151456557829,9.148642208130777,extra_trees_residual_csi
60,18.767044608330785,11.688751356188273,extra_trees_residual_csi
15,5.896820383408781,3.4834449384167794,hist_gb_residual_csi
30,10.993671523641183,6.468248737030777,hist_gb_residual_csi
45,15.729354350690965,9.580940782709776,hist_gb_residual_csi
60,19.510045422862596,12.421957315074847,hist_gb_residual_csi
