horizon_min,RMSE,MAE,bias,P90AE,corr_spatial_mean,skill_RMSE_vs_ref,skill_MAE_vs_ref,model
15,34.2333357589533,28.55107363426052,-2.447420308422627,50.46002197265625,0.984782028960938,-0.5876473450234254,-1.2575094987883726,persistence_raw
30,63.91294571516308,54.02460951788963,-2.1220945397638813,98.0,0.9407959798174423,-0.7434478853367072,-1.4953840376115277,persistence_raw
45,92.439959284371,78.73487913169892,0.5747161778017754,142.24002075195312,0.8722610569605311,-0.8538376972249238,-1.6586640306151823,persistence_raw
60,118.73374956253488,101.73030428320932,5.375779430965177,180.83999633789062,0.7877486732021376,-1.0147934532962197,-1.903767474214158,persistence_raw
15,21.56230465813661,12.647155472439458,-1.998343209340589,35.05283203125002,0.9988307210230473,4.63772353853642e-10,7.906917343092346e-10,persistence_csi
30,36.65893671687541,21.649817694853002,-3.337098399854092,59.92421264648438,0.9960889479880374,2.7278479475256745e-10,4.6189774227656244e-10,persistence_csi
45,49.864105905392535,29.61445229576224,-4.368226436416582,81.90197753906251,0.9926972895700809,2.005450250308627e-10,3.376730006721118e-10,persistence_csi
60,58.930978432621714,35.03390170099717,-5.242514168105417,97.20591430664064,0.9899699045768914,1.6969003979738773e-10,2.8543778451961543e-10,persistence_csi
15,21.56230465813661,12.647155472439458,-1.998343209340589,35.05283203125002,0.9988307210230473,4.63772353853642e-10,7.906917343092346e-10,advective_csi
30,36.65893671687541,21.649817694853002,-3.337098399854092,59.92421264648438,0.9960889479880374,2.7278479475256745e-10,4.6189774227656244e-10,advective_csi
45,49.864105905392535,29.61445229576224,-4.368226436416582,81.90197753906251,0.9926972895700809,2.005450250308627e-10,3.376730006721118e-10,advective_csi
60,58.930978432621714,35.03390170099717,-5.242514168105417,97.20591430664064,0.9899699045768914,1.6969003979738773e-10,2.8543778451961543e-10,advective_csi
15,278.4221819625926,239.32429757065378,221.4551587598517,425.6342285156251,,-11.91245004871984,-17.923171926126386,mean_image
30,279.4872234421352,240.19716389647047,222.4648788926823,428.20886840820316,,-6.623986083514458,-10.094650641914093,mean_image
45,282.6962725498204,242.4870277283228,223.93601729427422,441.6720245361328,,-4.669334030163668,-7.1881314307184,mean_image
60,287.56518450923903,245.01125382247542,225.54211027608767,462.94783782958984,,-3.8796947226869403,-5.99354744566079,mean_image
15,22.338833942947677,14.426272846823037,-6.528100030947893,36.03807983398438,0.998848338905104,-0.03601327811486543,-0.14067332111587283,cnn_residual_csi_fullmap
30,37.83824814313232,24.364826024332512,-10.840381396066345,61.5011840820313,0.9961786131402973,-0.032169820555442596,-0.12540559724301592,cnn_residual_csi_fullmap
45,51.516043505478514,33.59016205609534,-15.381167397433538,83.63280029296881,0.9930100441626235,-0.03312879193881302,-0.13424897105253986,cnn_residual_csi_fullmap
60,60.55414988409923,39.32013911183898,-17.594729129189457,98.64430541992188,0.9906497581198959,-0.027543602437517967,-0.12234541947967936,cnn_residual_csi_fullmap
15,20.828429689359854,12.91617405900563,-0.28173992789074886,33.723181152343756,0.9988325594899956,0.034035089943851404,-0.021271073716117694,convlstm_residual_csi_fullmap
30,35.02607490527865,22.00173875724635,0.13435867604652518,56.856842041015625,0.9960658554683173,0.04454198532167675,-0.016255150837342303,convlstm_residual_csi_fullmap
45,47.478058835342445,29.35825266811906,2.0959803160612895,77.39696960449221,0.9927438960578255,0.04785099494411149,0.008651169199348385,convlstm_residual_csi_fullmap
60,55.8345522772641,34.4184227679826,3.491968231627925,91.49109802246095,0.9902298430902786,0.05254326751714222,0.01756809584304375,convlstm_residual_csi_fullmap
