model,RMSE,MAE,MBE,MedAE,P90AE,nRMSE,R2,MAPE,corr_spatial_mean,skill_RMSE_vs_CSI
hist_gb_patch2x2_residual_csi,41.70637918057796,23.66858344186948,-2.21355002656946,10.321861267089844,63.86335754394531,0.12568318753076146,0.9413254877735747,11.096461547891668,0.9967299617229312,0.10432559482864479
extra_trees_residual_csi,42.59740871662756,23.81408454899304,-2.3049354638477815,9.736602783203125,65.2060546875,0.12836832669831885,0.9387916214351271,10.843015412644549,0.9965553565645806,0.06564578072614613
random_forest_residual_csi,42.69356628378515,23.97385258767821,-2.0604451390409553,10.068143844604492,65.36460876464844,0.12865809986451107,0.9385149711901571,10.96225550383053,0.9963880411254399,0.06142267712968741
hist_gb_residual_csi,42.82441526608814,24.278324488032265,-2.571125728045857,10.459972381591797,65.69558715820312,0.12905241645358226,0.9381375100006449,11.194173893664273,0.9962703853016024,0.055660680760856396
ridge_residual_csi,42.94026119867612,25.213799571973926,-0.9512517855492906,12.175689697265625,65.98407745361328,0.12940152098761745,0.9378023642194468,11.974439967844967,0.9958779418712898,0.0505446348521672
elasticnet_residual_csi,43.04731243884238,25.25739214058106,-1.4242277414801476,12.19247817993164,66.18821716308594,0.12972412250224338,0.9374918568511338,12.076919645613467,0.9957420192078805,0.04580469766543971
persistence_csi,44.06841244063742,24.73633179101297,-3.73654555342917,9.424938201904297,68.01052665710449,0.13280123218030024,0.9344912482846958,10.857473124587912,0.9941943424065789,5.149214388211476e-12
advective_csi,49.57255079258011,27.82019287846289,-3.4321551099588126,10.741378784179688,76.49620056152344,0.14938808690790079,0.917105246200963,12.262211550875595,0.9944246480477638,-0.2653996852033458
persistence_raw,83.51591953760904,65.7602166417646,0.34524519014511096,50.57000732421875,144.64999389648438,0.25167725377458294,0.7647210639661453,29.931431597830553,0.8939650240441225,-2.5915649416607205
mean_image,282.06512427611466,241.7549357544806,223.34954130572396,232.4322509765625,445.5680236816406,0.8500101089281658,-1.6837576543519495,161.7446191364849,0.01912189143938091,-39.967925415546404
