horizon_min,RMSE_spatial_mean,MAE_spatial_mean,model
15,27.445194469175192,23.8791109925518,persistence_raw
30,53.89574311093587,46.887851222994726,persistence_raw
45,80.02598740325953,69.68068093882879,persistence_raw
60,105.62636490629164,91.99518847665462,persistence_raw
15,7.800872464113328,4.970294475691051,persistence_csi
30,14.282337888358866,9.359331853209872,persistence_csi
45,19.908223255625114,13.438866628124424,persistence_csi
60,24.19702011373159,16.84981341994204,persistence_csi
15,7.800872464113328,4.970294475691051,advective_csi
30,14.282337888358866,9.359331853209872,advective_csi
45,19.908223255625114,13.438866628124424,advective_csi
60,24.19702011373159,16.84981341994204,advective_csi
15,270.30317761747784,235.61620220553573,mean_image
30,271.46154789854444,236.29934342178274,mean_image
45,274.7967862273508,238.37471963726202,mean_image
60,279.82214611854306,240.55448283531558,mean_image
15,9.929834856500454,7.502390946065865,cnn_residual_csi_fullmap
30,17.38698145458328,13.249461306467737,cnn_residual_csi_fullmap
45,24.293092758496293,19.15483126431787,cnn_residual_csi_fullmap
60,28.638323220535362,22.80184941514392,cnn_residual_csi_fullmap
15,7.682007537331137,5.156347873054855,convlstm_residual_csi_fullmap
30,14.067197446771377,9.538306824451158,convlstm_residual_csi_fullmap
45,19.537014445826244,12.937589424776597,convlstm_residual_csi_fullmap
60,23.623755395485855,15.895457237160787,convlstm_residual_csi_fullmap
